Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Brazil,BRA,1988,Agricultural land (sq. km),AG.LND.AGRI.K2,2376870
Brazil,BRA,1987,Agricultural land (sq. km),AG.LND.AGRI.K2,2357910
Brazil,BRA,1986,Agricultural land (sq. km),AG.LND.AGRI.K2,2340550
Brazil,BRA,1985,Agricultural land (sq. km),AG.LND.AGRI.K2,2310410
Brazil,BRA,1984,Agricultural land (sq. km),AG.LND.AGRI.K2,2299240
Brazil,BRA,1983,Agricultural land (sq. km),AG.LND.AGRI.K2,2288210
Brazil,BRA,1982,Agricultural land (sq. km),AG.LND.AGRI.K2,2281360
Brazil,BRA,1981,Agricultural land (sq. km),AG.LND.AGRI.K2,2258240
Brazil,BRA,1980,Agricultural land (sq. km),AG.LND.AGRI.K2,2242780
Brazil,BRA,1979,Agricultural land (sq. km),AG.LND.AGRI.K2,2225130
Brazil,BRA,1978,Agricultural land (sq. km),AG.LND.AGRI.K2,2200390
Brazil,BRA,1977,Agricultural land (sq. km),AG.LND.AGRI.K2,2185500
Brazil,BRA,1976,Agricultural land (sq. km),AG.LND.AGRI.K2,2160070
Brazil,BRA,1975,Agricultural land (sq. km),AG.LND.AGRI.K2,2134160
Brazil,BRA,1974,Agricultural land (sq. km),AG.LND.AGRI.K2,2100430
Brazil,BRA,1973,Agricultural land (sq. km),AG.LND.AGRI.K2,2058610
Brazil,BRA,1972,Agricultural land (sq. km),AG.LND.AGRI.K2,2028370
Brazil,BRA,1971,Agricultural land (sq. km),AG.LND.AGRI.K2,1996320
Brazil,BRA,1970,Agricultural land (sq. km),AG.LND.AGRI.K2,1953970
Brazil,BRA,1969,Agricultural land (sq. km),AG.LND.AGRI.K2,1937780
Brazil,BRA,1968,Agricultural land (sq. km),AG.LND.AGRI.K2,1852230
Brazil,BRA,1967,Agricultural land (sq. km),AG.LND.AGRI.K2,1795890
Brazil,BRA,1966,Agricultural land (sq. km),AG.LND.AGRI.K2,1750940
Brazil,BRA,1965,Agricultural land (sq. km),AG.LND.AGRI.K2,1703950
Brazil,BRA,1964,Agricultural land (sq. km),AG.LND.AGRI.K2,1660410
Brazil,BRA,1963,Agricultural land (sq. km),AG.LND.AGRI.K2,1615110
Brazil,BRA,1962,Agricultural land (sq. km),AG.LND.AGRI.K2,1559130
Brazil,BRA,1961,Agricultural land (sq. km),AG.LND.AGRI.K2,1505310
Brazil,BRA,2016,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.9245334488295
Brazil,BRA,2015,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.9887821931674
Brazil,BRA,2014,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.9284816956883
Brazil,BRA,2013,Agricultural land (% of land area),AG.LND.AGRI.ZS,33.4478723735185
Brazil,BRA,2012,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.9746809696894
Brazil,BRA,2011,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.9466843101456
Brazil,BRA,2010,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7181645677148
Brazil,BRA,2009,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7273771437186
Brazil,BRA,2008,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.7225913899504
Brazil,BRA,2007,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.4998145520415
Brazil,BRA,2006,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.6369263974999
Brazil,BRA,2005,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.5948828028724
Brazil,BRA,2004,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.5589186110785
Brazil,BRA,2003,Agricultural land (% of land area),AG.LND.AGRI.ZS,32.1206632097572
Brazil,BRA,2002,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.8094695709811
Brazil,BRA,2001,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.5219654133575
Brazil,BRA,2000,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.2756187381403
Brazil,BRA,1999,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.1982091709399
Brazil,BRA,1998,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.1207996037396
Brazil,BRA,1997,Agricultural land (% of land area),AG.LND.AGRI.ZS,31.0554740648039
Brazil,BRA,1996,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.990028882024
Brazil,BRA,1995,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.9245836992441
Brazil,BRA,1994,Agricultural land (% of land area),AG.LND.AGRI.ZS,30.080616022225
Brazil,BRA,1993,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.8467123068051
Brazil,BRA,1992,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.5172131598657
Brazil,BRA,1991,Agricultural land (% of land area),AG.LND.AGRI.ZS,29.305682843312
Brazil,BRA,1990,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.9069099105782
Brazil,BRA,1989,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.646564905589
Brazil,BRA,1988,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.4377863974521
Brazil,BRA,1987,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.2109416688402
Brazil,BRA,1986,Agricultural land (% of land area),AG.LND.AGRI.ZS,28.0032399553011
Brazil,BRA,1985,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.6426334088685
Brazil,BRA,1984,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.508991234892
Brazil,BRA,1983,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.3770240747343
Brazil,BRA,1982,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.2950680414542
Brazil,BRA,1981,Agricultural land (% of land area),AG.LND.AGRI.ZS,27.0184514736532
Brazil,BRA,1980,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.833482090513
Brazil,BRA,1979,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.6223107054919
Brazil,BRA,1978,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.3263118349298
Brazil,BRA,1977,Agricultural land (% of land area),AG.LND.AGRI.ZS,26.1481621509092
Brazil,BRA,1976,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.8439078550969
Brazil,BRA,1975,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.5339106547629
Brazil,BRA,1974,Agricultural land (% of land area),AG.LND.AGRI.ZS,25.1303519682609
Brazil,BRA,1973,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.6300014117974
Brazil,BRA,1972,Agricultural land (% of land area),AG.LND.AGRI.ZS,24.2681984269227
Brazil,BRA,1971,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.8847399062471
Brazil,BRA,1970,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.3780482260407
Brazil,BRA,1969,Agricultural land (% of land area),AG.LND.AGRI.ZS,23.1843448422735
Brazil,BRA,1968,Agricultural land (% of land area),AG.LND.AGRI.ZS,22.1607917551034
Brazil,BRA,1967,Agricultural land (% of land area),AG.LND.AGRI.ZS,21.4867183368549
Brazil,BRA,1966,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.9489192571553
Brazil,BRA,1965,Agricultural land (% of land area),AG.LND.AGRI.ZS,20.386712833238
Brazil,BRA,1964,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.8657835355713
Brazil,BRA,1963,Agricultural land (% of land area),AG.LND.AGRI.ZS,19.3237969213246
Brazil,BRA,1962,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.6540306814674
Brazil,BRA,1961,Agricultural land (% of land area),AG.LND.AGRI.ZS,18.0101075119584
Brazil,BRA,2016,Arable land (% of land area),AG.LND.ARBL.ZS,9.68827992830941
Brazil,BRA,2015,Arable land (% of land area),AG.LND.ARBL.ZS,9.75252867264726
Brazil,BRA,2014,Arable land (% of land area),AG.LND.ARBL.ZS,9.69198888747975
Brazil,BRA,2013,Arable land (% of land area),AG.LND.ARBL.ZS,9.18410076883134
Brazil,BRA,2012,Arable land (% of land area),AG.LND.ARBL.ZS,8.68698059616135
Brazil,BRA,2011,Arable land (% of land area),AG.LND.ARBL.ZS,8.64701955219702
Brazil,BRA,2010,Arable land (% of land area),AG.LND.ARBL.ZS,8.41849980976629
Brazil,BRA,2009,Arable land (% of land area),AG.LND.ARBL.ZS,8.42771238577004
Brazil,BRA,2008,Arable land (% of land area),AG.LND.ARBL.ZS,8.40498005537117
Brazil,BRA,2007,Arable land (% of land area),AG.LND.ARBL.ZS,8.18220321746226
Brazil,BRA,2006,Arable land (% of land area),AG.LND.ARBL.ZS,8.31979363829752
Brazil,BRA,2005,Arable land (% of land area),AG.LND.ARBL.ZS,8.27420933365558
Brazil,BRA,2004,Arable land (% of land area),AG.LND.ARBL.ZS,8.17490494296578
Brazil,BRA,2003,Arable land (% of land area),AG.LND.ARBL.ZS,7.7330602263183
Brazil,BRA,2002,Arable land (% of land area),AG.LND.ARBL.ZS,7.35857499395799
Brazil,BRA,2001,Arable land (% of land area),AG.LND.ARBL.ZS,7.06748152100826
Brazil,BRA,2000,Arable land (% of land area),AG.LND.ARBL.ZS,6.91259041335752
Brazil,BRA,1999,Arable land (% of land area),AG.LND.ARBL.ZS,6.90904923598432
Brazil,BRA,1998,Arable land (% of land area),AG.LND.ARBL.ZS,6.90550759125236
Brazil,BRA,1997,Arable land (% of land area),AG.LND.ARBL.ZS,6.9139784688938
Brazil,BRA,1996,Arable land (% of land area),AG.LND.ARBL.ZS,6.92235353798812
Brazil,BRA,1995,Arable land (% of land area),AG.LND.ARBL.ZS,6.94640195067324
Brazil,BRA,1994,Arable land (% of land area),AG.LND.ARBL.ZS,6.31061456257014
Brazil,BRA,1993,Arable land (% of land area),AG.LND.ARBL.ZS,6.25306587350774
Brazil,BRA,1992,Arable land (% of land area),AG.LND.ARBL.ZS,6.19791006132944
Brazil,BRA,1991,Arable land (% of land area),AG.LND.ARBL.ZS,6.22124061094933
Brazil,BRA,1990,Arable land (% of land area),AG.LND.ARBL.ZS,6.0636696681319
Brazil,BRA,1989,Arable land (% of land area),AG.LND.ARBL.ZS,5.97022782580813
Brazil,BRA,1988,Arable land (% of land area),AG.LND.ARBL.ZS,5.95826344138768
Brazil,BRA,1987,Arable land (% of land area),AG.LND.ARBL.ZS,5.92237028812631
Brazil,BRA,1986,Arable land (% of land area),AG.LND.ARBL.ZS,5.86254836602402
Brazil,BRA,1985,Arable land (% of land area),AG.LND.ARBL.ZS,5.65915383087625
Brazil,BRA,1984,Arable land (% of land area),AG.LND.ARBL.ZS,5.63522506203533
Brazil,BRA,1983,Arable land (% of land area),AG.LND.ARBL.ZS,5.62326067761488
Brazil,BRA,1982,Arable land (% of land area),AG.LND.ARBL.ZS,5.62326067761488
Brazil,BRA,1981,Arable land (% of land area),AG.LND.ARBL.ZS,5.45575929572848
Brazil,BRA,1980,Arable land (% of land area),AG.LND.ARBL.ZS,5.38397298920573
Brazil,BRA,1979,Arable land (% of land area),AG.LND.ARBL.ZS,5.37200860478528
Brazil,BRA,1978,Arable land (% of land area),AG.LND.ARBL.ZS,5.26432914500116
Brazil,BRA,1977,Arable land (% of land area),AG.LND.ARBL.ZS,5.26432914500116
Brazil,BRA,1976,Arable land (% of land area),AG.LND.ARBL.ZS,5.14468530079659
Brazil,BRA,1975,Arable land (% of land area),AG.LND.ARBL.ZS,5.02504145659202
Brazil,BRA,1974,Arable land (% of land area),AG.LND.ARBL.ZS,4.90539761238745
Brazil,BRA,1973,Arable land (% of land area),AG.LND.ARBL.ZS,4.6661099239783
Brazil,BRA,1972,Arable land (% of land area),AG.LND.ARBL.ZS,4.54646607977373
Brazil,BRA,1971,Arable land (% of land area),AG.LND.ARBL.ZS,4.42682223556916
Brazil,BRA,1970,Arable land (% of land area),AG.LND.ARBL.ZS,4.18753454716001
Brazil,BRA,1969,Arable land (% of land area),AG.LND.ARBL.ZS,3.94824685875087
Brazil,BRA,1968,Arable land (% of land area),AG.LND.ARBL.ZS,3.8286030145463
Brazil,BRA,1967,Arable land (% of land area),AG.LND.ARBL.ZS,3.58931532613715
Brazil,BRA,1966,Arable land (% of land area),AG.LND.ARBL.ZS,3.46967148193258
Brazil,BRA,1965,Arable land (% of land area),AG.LND.ARBL.ZS,3.35002763772801
Brazil,BRA,1964,Arable land (% of land area),AG.LND.ARBL.ZS,3.23038379352344
Brazil,BRA,1963,Arable land (% of land area),AG.LND.ARBL.ZS,3.11073994931887
Brazil,BRA,1962,Arable land (% of land area),AG.LND.ARBL.ZS,2.87145226090972
Brazil,BRA,1961,Arable land (% of land area),AG.LND.ARBL.ZS,2.64628254611672
Brazil,BRA,2010,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,47495.16797
Brazil,BRA,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,47495.16797
Brazil,BRA,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,47495.16797
Brazil,BRA,2010,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.567010929
Brazil,BRA,2000,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.567010929
Brazil,BRA,1990,Rural land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.RU.ZS,0.567010929
Brazil,BRA,2010,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,3425.557373
Brazil,BRA,2000,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,3425.557373
Brazil,BRA,1990,Urban land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.UR.K2,3425.557373
Brazil,BRA,2010,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.040895286
Brazil,BRA,2000,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.040895286
Brazil,BRA,1990,Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,0.040895286
Brazil,BRA,2010,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0.607906215
Brazil,BRA,2000,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0.607906215
Brazil,BRA,1990,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,0.607906215
Brazil,BRA,2016,Forest area (sq. km),AG.LND.FRST.K2,4925540
Brazil,BRA,2015,Forest area (sq. km),AG.LND.FRST.K2,4935380
Brazil,BRA,2014,Forest area (sq. km),AG.LND.FRST.K2,4945220
Brazil,BRA,2013,Forest area (sq. km),AG.LND.FRST.K2,4955060
Brazil,BRA,2012,Forest area (sq. km),AG.LND.FRST.K2,4964900
Brazil,BRA,2011,Forest area (sq. km),AG.LND.FRST.K2,4974740
Brazil,BRA,2010,Forest area (sq. km),AG.LND.FRST.K2,4984580
Brazil,BRA,2009,Forest area (sq. km),AG.LND.FRST.K2,5001131.875
Brazil,BRA,2008,Forest area (sq. km),AG.LND.FRST.K2,5017684.0625
Brazil,BRA,2007,Forest area (sq. km),AG.LND.FRST.K2,5034235.9375
Brazil,BRA,2006,Forest area (sq. km),AG.LND.FRST.K2,5050788.125
Brazil,BRA,2005,Forest area (sq. km),AG.LND.FRST.K2,5067340
Brazil,BRA,2004,Forest area (sq. km),AG.LND.FRST.K2,5096420
Brazil,BRA,2003,Forest area (sq. km),AG.LND.FRST.K2,5125500
Brazil,BRA,2002,Forest area (sq. km),AG.LND.FRST.K2,5154580
Brazil,BRA,2001,Forest area (sq. km),AG.LND.FRST.K2,5183660
Brazil,BRA,2000,Forest area (sq. km),AG.LND.FRST.K2,5212740
Brazil,BRA,1999,Forest area (sq. km),AG.LND.FRST.K2,5238170.9375
Brazil,BRA,1998,Forest area (sq. km),AG.LND.FRST.K2,5263601.875
Brazil,BRA,1997,Forest area (sq. km),AG.LND.FRST.K2,5289033.125
Brazil,BRA,1996,Forest area (sq. km),AG.LND.FRST.K2,5314463.75
Brazil,BRA,1995,Forest area (sq. km),AG.LND.FRST.K2,5339895
Brazil,BRA,1994,Forest area (sq. km),AG.LND.FRST.K2,5365326.25
Brazil,BRA,1993,Forest area (sq. km),AG.LND.FRST.K2,5390756.875
Brazil,BRA,1992,Forest area (sq. km),AG.LND.FRST.K2,5416188.125
Brazil,BRA,1991,Forest area (sq. km),AG.LND.FRST.K2,5441618.75
Brazil,BRA,1990,Forest area (sq. km),AG.LND.FRST.K2,5467050
Brazil,BRA,2016,Forest area (% of land area),AG.LND.FRST.ZS,58.9310540383387
Brazil,BRA,2015,Forest area (% of land area),AG.LND.FRST.ZS,59.048783581036
Brazil,BRA,2014,Forest area (% of land area),AG.LND.FRST.ZS,59.1665131237333
Brazil,BRA,2013,Forest area (% of land area),AG.LND.FRST.ZS,59.2842426664306
Brazil,BRA,2012,Forest area (% of land area),AG.LND.FRST.ZS,59.4019722091279
Brazil,BRA,2011,Forest area (% of land area),AG.LND.FRST.ZS,59.5197017518252
Brazil,BRA,2010,Forest area (% of land area),AG.LND.FRST.ZS,59.6374312945225
Brazil,BRA,2009,Forest area (% of land area),AG.LND.FRST.ZS,59.8354642899018
Brazil,BRA,2008,Forest area (% of land area),AG.LND.FRST.ZS,60.0335010241513
Brazil,BRA,2007,Forest area (% of land area),AG.LND.FRST.ZS,60.2315340195307
Brazil,BRA,2006,Forest area (% of land area),AG.LND.FRST.ZS,60.4295707537801
Brazil,BRA,2005,Forest area (% of land area),AG.LND.FRST.ZS,60.6276037491595
Brazil,BRA,2004,Forest area (% of land area),AG.LND.FRST.ZS,60.9755280481064
Brazil,BRA,2003,Forest area (% of land area),AG.LND.FRST.ZS,61.3234523470533
Brazil,BRA,2002,Forest area (% of land area),AG.LND.FRST.ZS,61.6713766460002
Brazil,BRA,2001,Forest area (% of land area),AG.LND.FRST.ZS,62.0193009449471
Brazil,BRA,2000,Forest area (% of land area),AG.LND.FRST.ZS,62.367225243894
Brazil,BRA,1999,Forest area (% of land area),AG.LND.FRST.ZS,62.6714907563166
Brazil,BRA,1998,Forest area (% of land area),AG.LND.FRST.ZS,62.9757562687392
Brazil,BRA,1997,Forest area (% of land area),AG.LND.FRST.ZS,63.280025520032
Brazil,BRA,1996,Forest area (% of land area),AG.LND.FRST.ZS,63.5842872935845
Brazil,BRA,1995,Forest area (% of land area),AG.LND.FRST.ZS,63.8885565448772
Brazil,BRA,1994,Forest area (% of land area),AG.LND.FRST.ZS,64.19282579617
Brazil,BRA,1993,Forest area (% of land area),AG.LND.FRST.ZS,64.4970875697225
Brazil,BRA,1992,Forest area (% of land area),AG.LND.FRST.ZS,64.8013568210152
Brazil,BRA,1991,Forest area (% of land area),AG.LND.FRST.ZS,65.1056185945677
Brazil,BRA,1990,Forest area (% of land area),AG.LND.FRST.ZS,65.4098878458604
Brazil,BRA,2007,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,1.63968222413653
Brazil,BRA,2006,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,1.63279371224119
Brazil,BRA,2014,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1761
Brazil,BRA,2012,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1761
Brazil,BRA,2007,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1761
Brazil,BRA,2002,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1761
Brazil,BRA,1997,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1761
Brazil,BRA,1992,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1761
Brazil,BRA,1987,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1761
Brazil,BRA,1982,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1761
Brazil,BRA,1977,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1761
Brazil,BRA,1972,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1761
Brazil,BRA,1967,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1761
Brazil,BRA,1962,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,1761
Brazil,BRA,2017,Cereal yield (kg per hectare),AG.YLD.CREL.KG,5208.5
Brazil,BRA,2016,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4180.8
Brazil,BRA,2015,Cereal yield (kg per hectare),AG.YLD.CREL.KG,5000.2
Brazil,BRA,2014,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4640.4
Brazil,BRA,2013,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4826.4
Brazil,BRA,2012,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4584.5
Brazil,BRA,2011,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4037.5
Brazil,BRA,2010,Cereal yield (kg per hectare),AG.YLD.CREL.KG,4040.6
Brazil,BRA,2009,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3532.1
Brazil,BRA,2008,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3831.3
Brazil,BRA,2007,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3553.1
Brazil,BRA,2006,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3210.5
Brazil,BRA,2005,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2882.6
Brazil,BRA,2004,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3131.8
Brazil,BRA,2003,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3385.4
Brazil,BRA,2002,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2844.8
Brazil,BRA,2001,Cereal yield (kg per hectare),AG.YLD.CREL.KG,3147.6
Brazil,BRA,2000,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2643.3
Brazil,BRA,1999,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2732
Brazil,BRA,1998,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2580.4
Brazil,BRA,1997,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2521.8
Brazil,BRA,1996,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2422.2
Brazil,BRA,1995,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2513.1
Brazil,BRA,1994,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2285
Brazil,BRA,1993,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2354.6
Brazil,BRA,1992,Cereal yield (kg per hectare),AG.YLD.CREL.KG,2142.5
Brazil,BRA,1991,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1850.7
Brazil,BRA,1990,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1755.1
Brazil,BRA,1989,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1999.7
Brazil,BRA,1988,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1858.8
Brazil,BRA,1987,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1882.1
Brazil,BRA,1986,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1664.7
Brazil,BRA,1985,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1827.8
Brazil,BRA,1984,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1677.3
Brazil,BRA,1983,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1614.6
Brazil,BRA,1982,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1544.8
Brazil,BRA,1981,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1611.1
Brazil,BRA,1980,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1575.7
Brazil,BRA,1979,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1301.3
Brazil,BRA,1978,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1210.1
Brazil,BRA,1977,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1452.5
Brazil,BRA,1976,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1444.6
Brazil,BRA,1975,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1358.8
Brazil,BRA,1974,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1455.8
Brazil,BRA,1973,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1411.7
Brazil,BRA,1972,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1299.7
Brazil,BRA,1971,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1290.8
Brazil,BRA,1970,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1408.8
Brazil,BRA,1969,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1302.8
Brazil,BRA,1968,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1350.5
Brazil,BRA,1967,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1402.2
Brazil,BRA,1966,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1321.3
Brazil,BRA,1965,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1428.3
Brazil,BRA,1964,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1256.4
Brazil,BRA,1963,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1322.4
Brazil,BRA,1962,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1381.5
Brazil,BRA,1961,Cereal yield (kg per hectare),AG.YLD.CREL.KG,1346.3
Brazil,BRA,2018,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,4.14549439380117
